project,AUC,Accuracy,Precision,Recall,F1-Score
cassandra,0.8835680627235649,0.8256130790190735,0.8617234468937875,0.7775768535262206,0.8174904942965779
derby,0.9240529745638008,0.8579710144927536,0.8559556786703602,0.8704225352112676,0.8631284916201117
drill,0.8876996487507456,0.8510028653295129,0.8732394366197183,0.7848101265822784,0.8266666666666665
flink,0.9173029861076778,0.8476931628682601,0.8869778869778869,0.7986725663716814,0.8405122235157158
hadoop,0.8992235402985307,0.837630662020906,0.8389261744966443,0.8468834688346883,0.8428860418071478
harmony,0.9354666666666668,0.8769230769230769,0.8549618320610687,0.896,0.875
hbase,0.8938987909759442,0.8171866447728516,0.7956431535269709,0.8484513274336283,0.8211991434689506
hdds,0.9201040059431967,0.8800675675675675,0.8905109489051095,0.856140350877193,0.8729874776386404
hdfs,0.8795510281079042,0.791007493755204,0.800332778702163,0.7859477124183006,0.7930750206100576
hive,0.8943139034178015,0.8178041543026706,0.8158844765342961,0.8149038461538461,0.8153938665063138
ignite,0.9324946439502144,0.8670715249662618,0.9007194244604316,0.830238726790451,0.8640441683919944
impala,0.8925959250014511,0.838258164852255,0.8444444444444444,0.8286604361370716,0.8364779874213836
kafka,0.9216740050073384,0.8620689655172413,0.8514851485148515,0.8686868686868687,0.86
mapreduce,0.8519320185986852,0.7784810126582279,0.7763157894736842,0.7662337662337663,0.7712418300653594
mesos,0.929504520971948,0.8743455497382199,0.903846153846154,0.8333333333333334,0.8671586715867158
mng,0.9244285073957866,0.8647798742138365,0.8865671641791045,0.8608695652173913,0.8735294117647059
nifi,0.9611133066765852,0.9250425894378196,0.947565543071161,0.8939929328621908,0.92
oak,0.898093060277373,0.8422018348623853,0.8837209302325582,0.8028169014084507,0.8413284132841329
pdfbox,0.8468220968220969,0.7696969696969697,0.7337662337662337,0.7635135135135135,0.7483443708609271
sling,0.9570309972173688,0.899641577060932,0.8754716981132076,0.9098039215686274,0.8923076923076922
solr,0.9019953966492742,0.8296744890234671,0.835423197492163,0.8162327718223583,0.8257164988381099
spark,0.9502669141558032,0.8842239185750637,0.9117911791179116,0.8526936026936027,0.8812527185732926
yarn,0.9009034218100416,0.8195937873357229,0.8109339407744874,0.839622641509434,0.8250289687137892
