project,AUC,Accuracy,Recall,Precision,F1-Score
cassandra,0.9122023932300904,0.8308457711442786,0.902155887230514,0.7895500725689405,0.8421052631578947
derby,0.7011602630796672,0.6099137931034483,0.913793103448276,0.5683646112600537,0.7008264462809918
drill,0.9374209973472912,0.8586497890295358,0.9240506329113924,0.8171641791044776,0.8673267326732674
flink,0.881005219069339,0.7933774834437086,0.8423841059602649,0.767189384800965,0.803030303030303
hadoop,0.9188988765008208,0.837991718426501,0.7919254658385093,0.8722919042189282,0.8301682040151926
harmony,0.9279447039515212,0.8342696629213483,0.898876404494382,0.7960199004975125,0.8443271767810028
hbase,0.901212149173395,0.8211764705882353,0.8729411764705882,0.7910447761194029,0.8299776286353467
hdds,0.91750625,0.83125,0.89,0.796420581655481,0.8406139315230224
hdfs,0.8469143709314126,0.7717661691542289,0.8843283582089553,0.7218274111675127,0.7948574622694243
hive,0.9166172423744564,0.8350739773716275,0.8189730200174065,0.8462230215827338,0.8323750552852721
ignite,0.8378192469887125,0.7226130653266332,0.8311557788944723,0.6829066886870355,0.7497733454215776
impala,0.9670860690493842,0.9087759815242494,0.9122401847575058,0.9059633027522936,0.9090909090909092
kafka,0.90473890093317,0.8106796116504854,0.8228155339805825,0.8033175355450237,0.8129496402877697
mapreduce,0.8598382155216117,0.7981220657276995,0.8450704225352113,0.7725321888412017,0.8071748878923767
mesos,0.9232528925619836,0.8381818181818181,0.7745454545454545,0.8875,0.8271844660194174
mng,0.8482962117929677,0.7740046838407494,0.8454332552693209,0.7397540983606558,0.7890710382513662
nifi,0.8807050152219197,0.7911392405063291,0.8025316455696202,0.7846534653465347,0.7934918648310388
oak,0.8449442177024354,0.7935528120713305,0.9410150891632372,0.7266949152542372,0.8200836820083682
pdfbox,0.88651489327165,0.795045045045045,0.8783783783783784,0.752895752895753,0.8108108108108109
sling,0.9126655037318768,0.8475935828877005,0.8502673796791443,0.8457446808510638,0.848
solr,0.8681290092300268,0.7757847533632287,0.9484304932735426,0.705,0.8087954110898661
spark,0.7056106837484629,0.6032085561497326,0.7796791443850267,0.5762845849802372,0.6627272727272728
yarn,0.8201266284392134,0.7429078014184397,0.9202127659574468,0.6793193717277487,0.7816265060240963
